first_name,last_name,date,team_abbreviation,opponent_abbreviation,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
Ty,Lawson,2014-11-12,DEN,POR,00:41:46,11,17,4,5,6,7,0,3,3,6,2,0,1,0,32,50.25
Paul,Millsap,2014-11-12,ATL,UTA,00:39:48,13,23,4,8,0,0,6,11,17,3,2,2,2,2,30,64.75
Brandon,Jennings,2014-11-12,DET,WAS,00:33:54,11,19,3,7,7,9,0,3,3,10,2,0,2,4,32,55.25
Reggie,Jackson,2014-11-12,OKC,BOS,00:39:55,8,15,2,5,10,10,0,3,3,8,1,0,1,0,28,46.25
Damian,Lillard,2014-11-12,POR,DEN,00:30:06,10,16,5,6,2,2,1,4,5,9,2,0,4,1,27,51.25
John,Wall,2014-11-12,WAS,DET,00:36:58,7,19,0,1,13,16,0,3,3,11,3,1,1,3,27,54.75
Rajon,Rondo,2014-11-12,BOS,OKC,00:36:16,8,15,4,7,0,0,2,7,9,12,2,0,1,2,20,54.75
Anthony,Davis,2014-11-12,NOP,LAL,00:36:42,12,16,0,0,1,4,1,11,12,1,1,6,3,1,25,54.0
Evan,Fournier,2014-11-12,ORL,NYK,00:37:02,8,14,2,4,10,14,1,1,2,2,4,0,2,3,28,41.5
Anthony,Morrow,2014-11-12,OKC,BOS,00:31:26,11,16,4,5,2,2,0,5,5,1,0,0,1,1,28,37.25
Kobe,Bryant,2014-11-12,LAL,NOP,00:36:12,10,28,5,11,8,8,0,4,4,5,1,0,1,1,33,49.5
Gerald,Green,2014-11-12,PHO,BRK,00:26:33,7,15,3,9,11,12,0,5,5,3,1,0,2,3,28,41.25
Dwight,Howard,2014-11-12,HOU,MIN,00:33:20,9,16,0,0,4,5,2,8,10,2,0,4,0,3,22,45.5
Carmelo,Anthony,2014-11-12,NYK,ORL,00:32:09,10,17,2,4,5,6,1,4,5,1,1,1,1,5,27,39.25
James,Harden,2014-11-12,HOU,MIN,00:39:45,8,23,2,8,5,5,1,3,4,10,3,0,1,3,23,49.5
Derrick,Favors,2014-11-12,UTA,ATL,00:36:02,9,11,0,0,2,4,3,3,6,3,2,2,3,3,20,38.5
Jeff,Teague,2014-11-12,ATL,UTA,00:34:09,7,12,0,1,6,8,0,2,2,8,3,0,4,2,20,38.5
Tyreke,Evans,2014-11-12,NOP,LAL,00:36:45,8,16,2,2,1,2,1,4,5,11,0,0,2,2,19,41.75
Corey,Brewer,2014-11-12,MIN,HOU,00:24:12,7,7,1,1,3,5,0,4,4,2,1,0,1,1,18,28.0
Kyle,Korver,2014-11-12,ATL,UTA,00:38:15,5,10,4,7,3,3,1,9,10,6,0,0,2,1,17,39.5
Joe,Johnson,2014-11-12,BRK,PHO,00:37:11,7,16,1,3,6,7,0,5,5,3,2,0,1,1,21,35.75
Enes,Kanter,2014-11-12,UTA,ATL,00:28:52,7,11,2,4,0,0,2,3,5,2,1,1,0,1,16,30.25
Chris,Kaman,2014-11-12,POR,DEN,00:21:38,6,8,0,0,4,5,2,5,7,2,1,2,2,3,16,32.75
Rasual,Butler,2014-11-12,WAS,DET,00:26:56,7,8,2,2,2,2,0,1,1,1,1,0,1,2,18,23.25
Trevor,Ariza,2014-11-12,HOU,MIN,00:33:52,7,12,3,6,2,2,1,4,5,1,2,0,2,2,19,31.25
Alec,Burks,2014-11-12,UTA,ATL,00:36:39,9,15,1,5,3,3,0,2,2,3,1,0,3,2,22,30.0
