first_name,last_name,date,team_abbreviation,opponent_abbreviation,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls_committed,points,draftkings_score
Rudy,Gay,2015-04-07,SAC,MIN,2281,9,17,2,3,13,15,3,4,7,5,1,2,5,0,33,53.75
Anthony,Davis,2015-04-07,NOP,GSW,2423,10,21,0,2,9,12,1,9,10,2,2,4,0,1,29,56.5
Kevin,Martin,2015-04-07,MIN,SAC,2629,13,31,3,11,8,11,2,3,5,8,1,0,1,3,37,58.25
Goran,Dragic,2015-04-07,MIA,CHO,2076,10,16,0,2,8,8,1,3,4,5,2,0,2,4,28,43.5
J.J.,Redick,2015-04-07,LAC,LAL,1782,9,14,4,6,5,6,0,0,0,2,2,1,0,1,27,38.0
Omri,Casspi,2015-04-07,SAC,MIN,2116,12,20,4,6,3,5,0,5,5,1,1,0,0,1,31,42.75
Chris,Paul,2015-04-07,LAC,LAL,2073,5,11,0,2,9,9,0,5,5,10,2,0,0,2,19,44.25
Stephen,Curry,2015-04-07,GSW,NOP,2085,9,18,5,8,2,2,1,5,6,9,1,0,2,3,25,49.5
Draymond,Green,2015-04-07,GSW,NOP,2093,10,18,3,7,1,2,3,11,14,4,1,1,1,4,24,52.5
Kawhi,Leonard,2015-04-07,SAS,OKC,1449,10,15,4,4,2,2,0,2,2,2,3,1,3,3,26,40.0
Gerald,Henderson,2015-04-07,CHO,MIA,1860,11,18,2,3,5,5,2,1,3,1,0,0,0,6,29,35.25
Blake,Griffin,2015-04-07,LAC,LAL,2167,11,20,0,0,5,8,1,6,7,6,0,1,3,2,27,45.25
Mike,Muscala,2015-04-07,ATL,PHO,1549,7,8,0,0,2,2,1,6,7,0,4,1,0,4,16,34.75
Zach,LaVine,2015-04-07,MIN,SAC,2432,9,18,1,5,2,4,1,4,5,11,1,0,2,4,21,45.25
Bismack,Biyombo,2015-04-07,CHO,MIA,2468,4,6,0,0,4,6,5,7,12,2,2,4,1,4,12,41.5
DeMarre,Carroll,2015-04-07,ATL,PHO,1431,8,9,0,1,0,0,1,5,6,2,1,1,2,0,16,29.5
Tyreke,Evans,2015-04-07,NOP,GSW,1651,4,8,0,0,4,5,1,5,6,9,4,0,3,3,12,39.5
Luol,Deng,2015-04-07,MIA,CHO,2463,9,17,1,6,2,2,1,5,6,1,0,0,0,0,21,30.5
Derrick,Williams,2015-04-07,SAC,MIN,1887,8,12,0,2,2,4,3,5,8,1,0,1,1,1,18,31.0
Tarik,Black,2015-04-07,LAL,LAC,1304,6,9,0,0,4,4,3,6,9,1,0,0,0,3,16,28.75
Andrew,Wiggins,2015-04-07,MIN,SAC,2352,11,20,0,1,4,5,4,4,8,0,0,0,3,4,26,34.5
Jordan,Clarkson,2015-04-07,LAL,LAC,2133,7,17,1,4,5,6,0,4,4,6,0,0,2,2,20,33.5
Tim,Duncan,2015-04-07,SAS,OKC,1409,5,9,0,0,2,2,2,7,9,3,1,4,4,0,12,35.75
