first_name,last_name,position,team_abbreviation
Quincy,Acy,PF,NYK
Jordan,Adams,SG,MEM
Steven,Adams,C,OKC
Jeff,Adrien,PF,MIN
Arron,Afflalo,SG,DEN
Alexis,Ajinca,C,NOP
Furkan,Aldemir,PF,PHI
Cole,Aldrich,C,NYK
LaMarcus,Aldridge,PF,POR
Lavoy,Allen,PF,IND
Tony,Allen,SG,MEM
Al-Farouq,Aminu,SF,DAL
Louis,Amundson,PF,CLE
Chris,Andersen,C,MIA
Alan,Anderson,SG,BRK
Kyle,Anderson,SF,SAS
Ryan,Anderson,PF,NOP
Giannis,Antetokounmpo,SG,MIL
Carmelo,Anthony,SF,NYK
Joel,Anthony,C,DET
Pero,Antic,PF,ATL
Trevor,Ariza,SF,HOU
Darrell,Arthur,PF,DEN
Omer,Asik,C,NOP
D.J.,Augustin,PG,DET
Jeff,Ayres,PF,SAS
Luke,Babbitt,SF,NOP
Cameron,Bairstow,PF,CHI
Leandro,Barbosa,SG,GSW
Jose,Barea,PG,DAL
Andrea,Bargnani,C,NYK
Harrison,Barnes,SF,GSW
Matt,Barnes,SF,LAC
Earl,Barron,C,PHO
Will,Barton,SG,POR
Brandon,Bass,PF,BOS
Nicolas,Batum,SF,POR
Jerryd,Bayless,PG,MIL
Aron,Baynes,C,SAS
Kent,Bazemore,SG,ATL
Bradley,Beal,SG,WAS
Michael,Beasley,SF,MIA
Marco,Belinelli,SG,SAS
Jerrelle,Benimon,PF,UTA
Anthony,Bennett,PF,MIN
Patrick,Beverley,PG,HOU
Sim,Bhullar,C,SAC
Bismack,Biyombo,C,CHO
Tarik,Black,C,HOU
DeJuan,Blair,PF,WAS
Steve,Blake,PG,POR
Eric,Bledsoe,PG,PHO
Bojan,Bogdanovic,SF,BRK
Andrew,Bogut,C,GSW
Matt,Bonner,PF,SAS
Trevor,Booker,PF,UTA
Carlos,Boozer,PF,LAL
Chris,Bosh,C,MIA
Avery,Bradley,SG,BOS
Elton,Brand,PF,ATL
Corey,Brewer,SF,MIN
Aaron,Brooks,PG,CHI
Jabari,Brown,SG,LAL
Lorenzo,Brown,PG,MIN
Markel,Brown,SG,BRK
Shannon,Brown,SG,MIA
Kobe,Bryant,SG,LAL
Chase,Budinger,SF,MIN
Reggie,Bullock,SF,LAC
Trey,Burke,PG,UTA
Alec,Burks,SG,UTA
Caron,Butler,SF,DET
Jimmy,Butler,SG,CHI
Rasual,Butler,SF,WAS
Dwight,Buycks,PG,LAL
Will,Bynum,SG,WAS
Bruno,Caboclo,SF,TOR
Nick,Calathes,SG,MEM
Jose,Calderon,PG,NYK
Kentavious,Caldwell-Pope,SG,DET
Isaiah,Canaan,PG,HOU
Clint,Capela,C,HOU
DeMarre,Carroll,SF,ATL
Vince,Carter,SG,MEM
Michael,Carter-Williams,PG,PHI
Omri,Casspi,SF,SAC
Mario,Chalmers,PG,MIA
Tyson,Chandler,C,DAL
Wilson,Chandler,SF,DEN
Will,Cherry,PG,CLE
Patrick,Christopher,SG,UTA
Earl,Clark,PF,BRK
Ian,Clark,SG,UTA
Jordan,Clarkson,PG,LAL
Victor,Claver,SF,POR
Norris,Cole,PG,MIA
Darren,Collison,PG,SAC
Nick,Collison,PF,OKC
Mike,Conley,PG,MEM
Jack,Cooley,PF,UTA
Chris,Copeland,SF,IND
Bryce,Cotton,PG,UTA
DeMarcus,Cousins,C,SAC
Robert,Covington,SF,PHI
Allen,Crabbe,SG,POR
Jamal,Crawford,SG,LAC
Jae,Crowder,SF,DAL
